,Current,Fc,Tc,Tr,Tj,Error
0,12.0,0.5,32.11139054,35.44429316,31.24789072,0
1,12.0,0.5,32.26377286,34.94691726,31.55265536,0
2,12.0,0.5,32.13678759,35.41320716,31.60344947,0
3,12.0,0.5,32.41615518,35.35103518,31.93361116,0
4,12.0,0.5,32.11139054,35.41320716,31.57805241,0
5,12.0,0.5,32.26377286,35.44429316,31.8066259,0
6,12.0,0.5,32.13678759,35.2266912,31.50186125,0
7,12.0,0.5,32.41615518,35.81732508,31.45106715,0
8,12.0,0.5,32.21297875,35.38212117,31.42567009,0
9,12.0,0.5,32.31456697,35.38212117,30.84153786,0
10,12.0,0.5,32.11139054,35.28886319,31.57805241,0
11,12.0,0.5,32.13678759,35.56863713,31.67964063,0
12,12.0,0.5,32.08599348,35.07126124,31.45106715,0
13,12.0,0.5,31.75583179,35.38212117,31.29868483,0
14,12.0,0.5,32.13678759,35.13343322,31.50186125,0
15,12.0,0.5,32.31456697,35.38212117,31.55265536,0
16,12.0,0.5,31.85742,35.38212117,30.94312608,0
17,12.0,0.5,32.26377286,34.94691726,31.37487599,0
18,12.0,0.5,32.11139054,35.2266912,31.57805241,0
19,12.0,0.5,32.08599348,35.28886319,31.45106715,0
20,12.0,0.5,32.08599348,35.38212117,30.48597911,0
21,12.0,0.5,32.21297875,35.53755114,31.60344947,0
22,12.0,0.5,32.21297875,35.44429316,30.73994965,0
23,12.0,0.5,31.90821411,35.41320716,31.45106715,0
24,12.0,0.5,37.33996402,35.69298111,31.24789072,2
25,12.0,0.5,37.13678759,35.13343322,31.50186125,2
26,12.0,0.5,37.41615518,35.10234723,31.70503768,2
27,12.0,0.5,37.33996402,35.41320716,31.22249367,2
28,12.0,0.5,37.21297875,35.13343322,31.65424357,2
29,12.0,0.5,37.33996402,35.78623909,31.60344947,2
30,12.0,0.5,37.08599348,35.41320716,31.45106715,2
31,12.0,0.5,37.23837581,35.63080912,31.1463025,2
32,12.0,0.5,37.11139054,35.13343322,31.57805241,2
33,12.0,0.5,36.90821411,35.13343322,31.1463025,2
34,12.0,0.5,37.69552277,35.38212117,31.22249367,2
35,12.0,0.5,37.23837581,35.44429316,31.50186125,2
36,12.0,0.5,37.13678759,35.44429316,31.60344947,2
37,12.0,0.5,36.90821411,35.13343322,30.73994965,2
38,12.0,0.5,37.26377286,35.13343322,32.16218464,2
39,12.0,0.5,37.26377286,35.2577772,31.60344947,2
40,12.0,0.5,36.857420000000005,35.78623909,31.45106715,2
41,12.0,0.5,37.13678759,35.28886319,31.12090545,2
42,12.0,0.5,37.33996402,35.13343322,31.60344947,2
43,12.0,0.5,36.75583179,35.2577772,31.42567009,2
44,12.0,0.5,36.984405269999996,35.44429316,31.29868483,2
45,12.0,0.5,37.13678759,35.2266912,31.50186125,2
46,12.0,0.5,37.26377286,35.44429316,31.60344947,2
47,12.0,0.5,37.26377286,35.38212117,31.24789072,2
48,12.0,0.5,37.23837581,35.2266912,31.57805241,2
49,12.0,0.5,37.00980232,35.2266912,31.4764642,2
50,12.0,0.5,37.23837581,35.41320716,31.57805241,2
51,12.0,0.5,37.36536107,35.44429316,31.60344947,2
52,12.0,0.5,37.26377286,35.41320716,31.45106715,2
53,12.0,0.5,37.33996402,35.38212117,31.57805241,2
54,12.0,0.5,37.11139054,35.2266912,31.50186125,2
55,12.0,0.5,37.11139054,35.2577772,30.79074376,2
56,12.0,0.5,37.26377286,35.63080912,31.60344947,2
57,12.0,0.5,37.23837581,35.44429316,31.57805241,2
58,12.0,0.5,37.23837581,35.13343322,31.57805241,2
59,12.0,0.5,37.13678759,35.44429316,31.55265536,2
60,12.0,0.5,36.984405269999996,35.44429316,31.50186125,2
61,12.0,0.5,37.00980232,35.13343322,31.60344947,2
62,12.0,0.5,36.984405269999996,35.13343322,31.1463025,2
63,12.0,0.5,37.13678759,35.35103518,31.57805241,2
64,12.0,0.5,36.75583179,35.35103518,31.45106715,2
65,12.0,0.5,37.26377286,35.63080912,31.70503768,2
